City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
109,Melville,US,78.85,clear sky,40.7934,-73.4151,Marriott Melville Long Island
110,Phenix City,US,80.74,clear sky,32.471,-85.0008,Columbus Marriott
113,Douglas,US,84.74,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
114,Plant City,US,85.57,light rain,28.0186,-82.1129,"Holiday Inn Express & Suites Plant City, an IHG Hotel"
118,Lewistown,US,79.93,light rain,40.5992,-77.5714,Quality Inn & Suites
122,Fort Smith,US,82.44,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
124,West Plains,US,77.09,clear sky,36.7281,-91.8524,West Plains Motel
125,Susanville,US,80.44,haze,40.4163,-120.653,Comfort Inn & Suites
128,Fairview,US,79.86,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
129,Bend,US,79.88,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
133,Englewood,US,82.24,scattered clouds,39.6478,-104.9878,Holiday Motel
134,New Kensington,US,78.04,overcast clouds,40.5698,-79.7648,SpringHill Suites by Marriott Pittsburgh Mills
135,Hayden,US,82.06,clear sky,47.766,-116.7866,Triple Play Resort Hotel & Suites
138,North Platte,US,85.01,thunderstorm,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
139,Show Low,US,80.89,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
140,Destin,US,83.97,clear sky,30.3935,-86.4958,Inn On Destin Harbor-Ascend Hotel Collection
146,Villa Rica,US,76.69,overcast clouds,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
150,Sartell,US,78.39,few clouds,45.6216,-94.2069,AmericInn by Wyndham Sartell
153,Myrtle Beach,US,81.05,few clouds,33.6891,-78.8867,Bay View Resort Myrtle Beach
154,Republic,US,79.0,clear sky,37.12,-93.4802,AmericInn by Wyndham Republic
156,Brenham,US,80.56,clear sky,30.1669,-96.3977,Hampton Inn & Suites Brenham
160,Eugene,US,83.95,scattered clouds,44.0521,-123.0867,Valley River Inn
161,Cranbrook,CA,76.95,overcast clouds,49.4999,-115.7688,Almo Court Motel
164,Sterling,US,80.53,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
165,Weyburn,CA,77.18,overcast clouds,49.6668,-103.8511,Perfect Inns & Suites
167,Whitefish,US,77.9,overcast clouds,48.4111,-114.3376,Best Western Rocky Mountain Lodge
169,Freeport,US,80.62,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
170,West Wendover,US,81.61,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
171,Grandview,US,83.07,clear sky,38.8858,-94.533,Holiday Inn Express & Suites Kansas City-Grandview
174,Dodge City,US,85.64,haze,37.7528,-100.0171,Windsor Inn & Suites
176,Winona,US,76.8,clear sky,43.9666,-91.7668,
182,Rogers,US,85.1,clear sky,36.3668,-95.5836,Claremore Motor Inn
184,Eston,CA,84.92,scattered clouds,51.1501,-108.7514,Hearthside Place B&B
189,Evanston,US,78.98,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
190,Hopatcong,US,78.03,overcast clouds,40.9329,-74.6593,"Holiday Inn Express & Suites Mount Arlington-Rockaway Area, an IHG Hotel"
191,Boone,US,80.53,clear sky,39.0334,-92.3335,Cottonwoods RV Park
193,Winnemucca,US,84.25,clear sky,40.973,-117.7357,Winners Inn Casino
196,Scottsbluff,US,77.23,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
201,Minot,US,78.12,clear sky,48.2325,-101.2963,Noble Inn
202,Gallup,US,83.16,clear sky,35.5281,-108.7426,El Capitan Motel
205,Oakdale,US,80.02,clear sky,44.963,-92.9649,Best Western Regency Plaza Hotel - St. Paul East
208,Bloomingdale,US,85.89,overcast clouds,27.8936,-82.2404,Travel Club for Free
209,Marshalltown,US,79.07,clear sky,42.0494,-92.908,Best Western Regency Inn
